SampleID	EdgeA	EdgeB	XEdge	TriangleXAX	L3XAX	
516000	4.00000	4.00000	151.00000	15.00000	532.00000	
517000	6.00000	1.00000	163.00000	27.00000	1206.00000	
518000	5.00000	1.00000	186.00000	30.00000	1198.00000	
519000	8.00000	0.00000	169.00000	39.00000	1495.00000	
520000	6.00000	1.00000	158.00000	30.00000	1088.00000	
521000	6.00000	2.00000	160.00000	18.00000	822.00000	
522000	8.00000	2.00000	159.00000	36.00000	1491.00000	
523000	10.00000	1.00000	176.00000	68.00000	2757.00000	
524000	8.00000	1.00000	179.00000	44.00000	1634.00000	
525000	9.00000	5.00000	177.00000	46.00000	1974.00000	
526000	9.00000	4.00000	161.00000	39.00000	1553.00000	
527000	10.00000	2.00000	157.00000	48.00000	1645.00000	
528000	9.00000	4.00000	154.00000	37.00000	1301.00000	
529000	8.00000	4.00000	147.00000	33.00000	1141.00000	
530000	9.00000	4.00000	147.00000	34.00000	1386.00000	
531000	12.00000	3.00000	178.00000	59.00000	2551.00000	
532000	7.00000	3.00000	152.00000	25.00000	1061.00000	
533000	5.00000	2.00000	157.00000	17.00000	691.00000	
534000	4.00000	1.00000	154.00000	11.00000	502.00000	
535000	6.00000	1.00000	140.00000	15.00000	729.00000	
536000	6.00000	3.00000	132.00000	15.00000	724.00000	
537000	4.00000	3.00000	161.00000	16.00000	577.00000	
538000	4.00000	1.00000	147.00000	18.00000	613.00000	
539000	4.00000	2.00000	159.00000	17.00000	542.00000	
540000	4.00000	3.00000	153.00000	17.00000	685.00000	
541000	6.00000	1.00000	159.00000	26.00000	940.00000	
542000	9.00000	0.00000	141.00000	35.00000	1192.00000	
543000	4.00000	3.00000	143.00000	16.00000	506.00000	
544000	2.00000	5.00000	147.00000	6.00000	266.00000	
545000	3.00000	3.00000	145.00000	13.00000	364.00000	
546000	1.00000	1.00000	138.00000	2.00000	80.00000	
547000	1.00000	2.00000	139.00000	2.00000	96.00000	
548000	6.00000	1.00000	137.00000	27.00000	999.00000	
549000	8.00000	1.00000	156.00000	34.00000	1488.00000	
550000	4.00000	1.00000	136.00000	16.00000	597.00000	
551000	8.00000	0.00000	135.00000	35.00000	1048.00000	
552000	7.00000	0.00000	158.00000	29.00000	1013.00000	
553000	8.00000	1.00000	176.00000	43.00000	1764.00000	
554000	9.00000	3.00000	169.00000	41.00000	1726.00000	
555000	9.00000	3.00000	154.00000	54.00000	1794.00000	
556000	11.00000	3.00000	175.00000	48.00000	2226.00000	
557000	8.00000	5.00000	175.00000	33.00000	1478.00000	
558000	5.00000	3.00000	150.00000	16.00000	724.00000	
559000	3.00000	2.00000	156.00000	12.00000	332.00000	
560000	8.00000	3.00000	168.00000	29.00000	1384.00000	
561000	5.00000	4.00000	173.00000	29.00000	1232.00000	
562000	1.00000	6.00000	148.00000	3.00000	165.00000	
563000	1.00000	3.00000	145.00000	2.00000	100.00000	
564000	2.00000	1.00000	145.00000	8.00000	310.00000	
565000	3.00000	0.00000	151.00000	13.00000	447.00000	
566000	3.00000	0.00000	154.00000	15.00000	477.00000	
